Index,Index,Force_heel,Position_thigh,Velocity_thigh,Position_torso,Velocity_torso
1,0,30.49747086,0.299024433,-1.373610854,-0.007823648,-0.05898153
0.999915738,0.012981425,30.49747086,0.291297317,-1.426290035,-0.007127668,-0.046210822
0.999662965,0.025960656,43.22158051,0.283690184,-1.427354217,-0.006275142,-0.04408237
0.999241725,0.038935519,48.0688591,0.27656883,-1.365097046,-0.005672282,-0.038761243
0.998652088,0.051903819,48.0688591,0.270198971,-1.248564363,-0.005130156,-0.031311661
0.997894154,0.064863373,46.04916,0.264718831,-1.106490254,-0.004692597,-0.026522648
0.996968051,0.077811989,46.04916,0.260211945,-0.972929895,-0.004410017,-0.024394197
0.995873934,0.090747499,46.4530983,0.256719589,-0.893645108,-0.004168137,-0.022265747
0.994611987,0.103667715,46.4530983,0.254246265,-0.840965927,-0.003950384,-0.022265747
0.993182425,0.116570455,48.47280121,0.253132522,-0.765938044,-0.003695328,-0.025458422
0.991585486,0.129453555,48.47280121,0.253091604,-0.666432917,-0.003420819,-0.029715326
0.989821442,0.14231484,50.49250031,0.253950566,-0.553092897,-0.00306841,-0.036100678
0.987890589,0.155152135,51.30038071,0.255487442,-0.451991469,-0.002596868,-0.038761243
0.985793251,0.167963289,51.30038071,0.257012635,-0.396119624,-0.001921211,-0.036632791
0.983529783,0.180746137,51.09841156,0.257956296,-0.393991172,-0.001125789,-0.039293356
0.981100566,0.193498525,51.09841156,0.257825106,-0.439752877,-0.000255568,-0.03822913
0.978506011,0.206218298,50.69446945,0.256415337,-0.519569814,0.000589682,-0.035568565
0.975746552,0.218903324,50.69446945,0.253819704,-0.611093223,0.001338745,-0.033972226
0.972822657,0.23155146,51.704319,0.250247329,-0.693570673,0.001938629,-0.029183213
0.969734818,0.244160567,51.704319,0.245700538,-0.797332704,0.002501294,-0.025990536
0.966483554,0.256728533,51.09841156,0.241274759,-0.830855787,0.002959622,-0.019605182
0.963069414,0.269253235,52.10826111,0.237297997,-0.787222564,0.00343739,-0.012155603
0.959492974,0.281732554,52.10826111,0.233878255,-0.74199295,0.00391134,0.003275668
0.955754835,0.294164401,52.71416855,0.231109977,-0.711130381,0.004503298,0.00912891
0.951855628,0.306546674,52.71416855,0.228984624,-0.683460534,0.005254887,0.00912891
0.94779601,0.318877286,53.52204895,0.227527678,-0.582359076,0.006005874,0.00912891
0.943576667,0.331154153,53.52204895,0.226394579,-0.474872321,0.006679608,0.000615104
0.939198306,0.343375219,53.92599106,0.225094318,-0.407826096,0.007281376,-0.008962926
0.934661668,0.355538418,53.92599106,0.223198563,-0.406229764,0.007889442,-0.008962926
0.929967518,0.367641694,54.32992935,0.220389873,-0.457312584,0.008455392,-0.012155603
0.925116644,0.37968302,55.54175186,0.216874555,-0.533936858,0.008931287,-0.019073069
0.920109865,0.391660359,55.54175186,0.212925941,-0.575441658,0.009362263,-0.021733634
0.914948027,0.403571689,55.94569016,0.20556587,-0.559478283,0.010728801,-0.024394197
0.909631996,0.415415012,56.75357056,0.20556587,-0.495092601,0.010728801,-0.02492631
0.904162669,0.427188328,56.75357056,0.199579269,-0.495092601,0.011488712,-0.02492631
0.898540969,0.438889652,56.75357056,0.197042361,-0.475404441,0.011771245,-0.0286511
0.892767846,0.450517007,57.35948181,0.194785893,-0.467954844,0.011975603,-0.031311661
0.886844267,0.462068444,57.15750885,0.192533672,-0.471679628,0.012270764,-0.035568565
0.880771232,0.473542011,57.15750885,0.190359935,-0.480193436,0.012609887,-0.035036452
0.874549769,0.48493577,57.76342011,0.188116372,-0.493496269,0.01285593,-0.034504339
0.86818092,0.496247811,57.76342011,0.185819671,-0.514248669,0.013112457,-0.037164904
0.861665762,0.507476221,57.56145096,0.183518931,-0.516909242,0.013450242,-0.038761243
0.855005391,0.51861911,57.56145096,0.18134582,-0.508927524,0.013755724,-0.038761243
0.848200935,0.529674593,57.56145096,0.177317142,-0.444541901,0.014321448,-0.039825469
0.841253533,0.540640818,57.56145096,0.173958048,-0.433899641,0.014795721,-0.044614483
0.834164358,0.551515932,57.35948181,0.173958048,-0.427514285,0.014795721,-0.044614483
0.826934611,0.562298097,57.35948181,0.171342909,-0.417404145,0.014979148,-0.045146596
0.819565501,0.572985506,57.35948181,0.170008436,-0.392394841,0.015150743,-0.04408237
0.812058274,0.583576353,57.35948181,0.16871649,-0.36046806,0.015357859,-0.043550257
0.804414199,0.594068848,57.15750885,0.1669278,-0.358339608,0.015318455,-0.046742935
0.796634557,0.604461233,57.56145096,0.164922491,-0.357275397,0.015182867,-0.052596174
0.788720663,0.614751752,57.56145096,0.163289711,-0.379092008,0.015083235,-0.053128287
0.780673849,0.62493867,56.55160141,0.161659032,-0.393459052,0.014948745,-0.054192513
0.772495477,0.635020265,56.55160141,0.161659032,-0.393459052,0.014948745,-0.059513643
0.764186917,0.644994849,56.55160141,0.158105224,-0.428046405,0.014385582,-0.064834774
0.755749573,0.654860736,56.55160141,0.156147644,-0.434431732,0.014110555,-0.068559557
0.74718487,0.664616257,56.9555397,0.154130891,-0.439220756,0.013752261,-0.069623783
0.738494245,0.67425978,56.9555397,0.151898131,-0.43230328,0.013478919,-0.070688009
0.729679165,0.683789673,57.76342011,0.149479821,-0.434431732,0.013198136,-0.071220122
0.72074112,0.693204326,58.77326965,0.146976396,-0.441349208,0.012958063,-0.068027452
0.711681609,0.702502162,58.77326965,0.144506484,-0.448266685,0.012693254,-0.070155904
0.702502162,0.711681609,59.7831192,0.144506484,-0.448266685,0.012693254,-0.073348582
0.693204326,0.72074112,59.7831192,0.141974688,-0.450927228,0.0120907,-0.077605471
0.683789673,0.729679165,60.5909996,0.137124598,-0.444541901,0.011651573,-0.079201818
0.67425978,0.738494245,60.5909996,0.134777039,-0.440817088,0.011176785,-0.081862375
0.664616257,0.74718487,60.99494171,0.132488519,-0.454119921,0.010802793,-0.0866514
0.654860736,0.755749573,60.99494171,0.130419746,-0.452523589,0.010496788,-0.093568861
0.644994849,0.764186917,61.39888,0.128313392,-0.454119921,0.010179221,-0.101018444
0.635020265,0.772495477,61.39888,0.126287401,-0.445606112,0.009844617,-0.106339574
0.62493867,0.780673849,62.00479126,0.124311365,-0.441881329,0.009527273,-0.115385488
0.614751752,0.788720663,63.01464081,0.122144595,-0.429642737,0.009252791,-0.123367175
0.604461233,0.796634557,63.01464081,0.1197704,-0.431239069,0.008938338,-0.130284652
0.594068848,0.804414199,63.62054825,0.117327146,-0.449330896,0.008623025,-0.135073662
0.583576353,0.812058274,63.62054825,0.115002662,-0.466890633,0.008343356,-0.139330566
0.572985506,0.819565501,63.82252121,0.112766072,-0.468486965,0.007962691,-0.14305535
0.562298097,0.826934611,63.82252121,0.1105607,-0.469551176,0.007765366,-0.144119576
0.551515932,0.834164358,64.83236694,0.108254127,-0.463165849,0.007562038,-0.145183802
0.540640818,0.841253533,64.83236694,0.105897516,-0.454119921,0.007394857,-0.144651696
0.529674593,0.848200935,66.85207367,0.103556104,-0.444541901,0.007258602,-0.144651696
0.51861911,0.855005391,66.85207367,0.101194195,-0.43230328,0.007118009,-0.139330566
0.507476221,0.861665762,66.85207367,0.098796479,-0.420064688,0.006970563,-0.132413089
0.496247811,0.86818092,68.46782684,0.096404701,-0.417404145,0.006910867,-0.124431401
0.48493577,0.874549769,68.46782684,0.093937144,-0.416872025,0.006927408,-0.120706618
0.473542011,0.880771232,70.48753357,0.091433495,-0.412083,0.007196322,-0.115385488
0.462068444,0.886844267,70.48753357,0.088901244,-0.406229764,0.007587336,-0.1074038
0.450517007,0.892767846,71.09343719,0.086236835,-0.406761885,0.008105253,-0.102614775
0.438889652,0.898540969,71.09343719,0.08329276,-0.417936236,0.008654275,-0.098357871
0.427188328,0.904162669,72.709198,0.080278896,-0.429110616,0.009178635,-0.092504635
0.415415012,0.909631996,74.72889709,0.077151209,-0.436560184,0.009710292,-0.085055053
