Index_COS,Index_SIN,Force_heel,Position_thigh,Velocity_thigh,Position_torso,Velocity_torso
1,0,36.15262985,0.303425074,-1.282910824,-0.016806571,-0.072942987
0.999890719,0.014783426,36.15262985,0.295028597,-1.386736989,-0.016190842,-0.07826411
0.999562901,0.02956362,54.93584061,0.28561461,-1.460168481,-0.015464473,-0.073475093
0.999016616,0.04433736,67.25601196,0.275781631,-1.470810771,-0.01462566,-0.064429179
0.998251984,0.059101403,67.25601196,0.266105354,-1.422388554,-0.013743503,-0.052190587
0.997269173,0.073852528,68.87177277,0.256870747,-1.346828461,-0.012729799,-0.040484104
0.996068398,0.088587512,68.87177277,0.24840346,-1.270204186,-0.011709646,-0.032502413
0.99464992,0.103303135,72.10328674,0.24043487,-1.228699446,-0.010472156,-0.033566639
0.993014049,0.117996179,72.10328674,0.232747003,-1.237213254,-0.009120326,-0.038887765
0.991161143,0.13266344,78.56632996,0.225192487,-1.279782295,-0.007657294,-0.038887765
0.989091608,0.1473017,78.56632996,0.217776105,-1.322883368,-0.005828603,-0.023988608
0.986805896,0.161907765,81.79785156,0.211025953,-1.330865145,-0.003847066,0.00208492
0.984304505,0.176478443,83.81755066,0.205602109,-1.261690378,-0.001685718,0.032947462
0.981587984,0.19101055,83.81755066,0.202090964,-1.084496856,0.000398865,0.053167753
0.978656925,0.205500909,84.62542725,0.201048926,-0.796091676,0.002520211,0.060085215
0.975511967,0.21994636,84.62542725,0.202549875,-0.431062281,0.004506573,0.059020989
0.972153802,0.234343733,86.24118805,0.206015602,-0.110730395,0.006470225,0.054764085
0.968583161,0.248689887,86.24118805,0.21036841,0.078701764,0.008173368,0.037204366
0.964800825,0.262981687,86.64512634,0.214566961,0.136169955,0.009943875,0.026029997
0.960807621,0.27721601,86.64512634,0.217885882,0.092004597,0.011410622,0.040397041
0.956604419,0.29138975,85.63527679,0.220235363,0.005270202,0.012556019,0.028690562
0.952192141,0.305499797,85.63527679,0.221531048,-0.0697577,0.013544594,0.029222675
0.947571751,0.319543073,84.62542725,0.221697241,-0.125097439,0.014306411,0.020176757
0.942744259,0.33351651,84.62542725,0.220863983,-0.172987595,0.015038507,0.015919853
0.937710718,0.347417053,84.62542725,0.218778387,-0.236309022,0.015595379,0.004745483
0.93247223,0.361241664,84.01952362,0.215116382,-0.324639738,0.016113568,-0.000575644
0.927029937,0.374987327,84.01952362,0.210396856,-0.433722854,0.016606422,-0.003768321
0.921385033,0.388651026,83.6155777,0.205172881,-0.540677547,0.016966831,-0.012814239
0.91553875,0.402229781,83.6155777,0.20002909,-0.619962335,0.017210482,-0.022924382
0.909492365,0.415720625,82.60572815,0.195449114,-0.659870803,0.017393008,-0.036227204
0.9032472,0.429120607,82.60572815,0.191663951,-0.664127707,0.017542107,-0.048997909
0.89680462,0.4424268,82.60572815,0.188632309,-0.643375278,0.0176607,-0.061236504
0.89016603,0.455636302,83.2116394,0.186319619,-0.608255863,0.017738406,-0.075603552
0.883332886,0.468746213,83.2116394,0.184605911,-0.57420063,0.017819053,-0.085713692
0.87630668,0.481753674,84.01952362,0.183454514,-0.543870211,0.017989658,-0.112851448
0.869088947,0.494655842,84.01952362,0.182691827,-0.507154405,0.018378219,-0.087310031
0.861681264,0.507449898,83.6155777,0.182279989,-0.459264278,0.018691093,-0.093163274
0.854085248,0.52013305,83.6155777,0.182083666,-0.394346505,0.019054774,-0.08358524
0.846302564,0.532702515,84.82740021,0.182022601,-0.312401116,0.019444361,-0.080392562
0.838334912,0.545155552,84.42346191,0.18210943,-0.229923666,0.019833989,-0.064429179
0.830184031,0.557489439,84.42346191,0.182015851,-0.159152657,0.020223724,-0.0569796
0.821851704,0.56970148,84.62542725,0.181704879,-0.107005596,0.020665476,-0.04740157
0.813339752,0.581789006,84.62542725,0.18115449,-0.070821926,0.021009322,-0.046869457
0.804650031,0.593749381,83.2116394,0.180172011,-0.056986995,0.021367218,-0.038887765
0.795784448,0.60557998,83.2116394,0.178857163,-0.066032916,0.021566646,-0.035162978
0.786744938,0.617278222,82.40376282,0.177326158,-0.098491788,0.021759693,-0.032502413
0.777533475,0.62884155,82.40376282,0.175611138,-0.142125055,0.021952854,-0.030373961
0.768152073,0.640267438,80.78800201,0.173715368,-0.188950971,0.022160286,-0.029841848
0.758602783,0.651553389,79.17224121,0.171830371,-0.233116344,0.022540251,-0.023988608
0.748887687,0.662696939,79.17224121,0.169935822,-0.270896345,0.022849569,-0.027713396
0.739008916,0.673695644,78.76830292,0.168041453,-0.308676332,0.023201896,-0.034098752
0.728968627,0.684547106,78.76830292,0.166338205,-0.315593809,0.02343493,-0.043676782
0.718769014,0.695248952,77.55648041,0.164985836,-0.301226765,0.023618344,-0.050062135
0.708412305,0.705798843,77.55648041,0.163738117,-0.282070696,0.023779819,-0.053254813
0.69790076,0.716194478,77.9604187,0.162591651,-0.251740277,0.023802908,-0.062832847
0.687236685,0.726433575,77.9604187,0.161654726,-0.213960275,0.023851622,-0.074007213
0.676422406,0.736513903,79.5761795,0.160966903,-0.161813214,0.023942439,-0.079328336
0.665460287,0.746433256,81.79785156,0.160505638,-0.101684466,0.024025898,-0.082521014
0.654352725,0.756189468,81.79785156,0.160275847,-0.040491499,0.024205523,-0.082521014
0.643102146,0.765780406,83.41361237,0.160106182,-0.005372053,0.024452411,-0.079860449
0.631711004,0.775203978,83.41361237,0.159680277,-0.000583039,0.024792388,-0.069750309
0.6201818,0.784458116,84.82740021,0.158808991,-0.01601431,0.025277434,-0.058043826
0.608517048,0.793540801,84.82740021,0.157267019,-0.049005304,0.025760945,-0.042612556
0.596719297,0.802450049,84.82740021,0.154932693,-0.099023908,0.026246794,-0.022924382
0.584791126,0.811183912,84.82740021,0.151739582,-0.165538013,0.026594909,-0.006428885
0.572735143,0.819740481,85.63527679,0.147647843,-0.243226483,0.026873721,0.004745483
0.560553976,0.82811789,85.43331146,0.142751202,-0.32676819,0.027107175,0.00421337
0.548250299,0.836314301,85.43331146,0.137438804,-0.417227358,0.027495628,0.011130838
0.535826795,0.844327926,86.24118805,0.131836146,-0.507154405,0.027894558,0.014855627
0.52328618,0.852157012,86.24118805,0.12637198,-0.566751063,0.028301781,0.013791401
0.510631195,0.85979985,87.04907227,0.121233039,-0.597081482,0.028808104,0.018580416
0.4978646,0.867254772,87.04907227,0.116519578,-0.598677814,0.029391328,0.018048305
0.484989197,0.874520142,87.65498352,0.112487279,-0.560365677,0.029988538,0.019112531
0.472007793,0.881594376,87.65498352,0.109193929,-0.505558074,0.030769378,0.014855627
0.458923227,0.888475927,87.65498352,0.106591381,-0.442236662,0.031571232,0.015919853
0.445738357,0.895163291,88.66483307,0.104703963,-0.383704245,0.032427959,0.039864928
0.432456066,0.901655006,88.66483307,0.103535473,-0.321979165,0.033052567,0.00208492
0.419079252,0.907949658,88.66483307,0.103030585,-0.257061392,0.033736352,0.001020694
