Index_COS,Index_SIN,Force_heel,Position_thigh,Velocity_thigh,Position_torso,Velocity_torso
1,0,25.4482193,0.366417706,-1.151293039,0.000751639,0.137442619
0.999919766,0.012667373,25.4482193,0.366417706,-1.151293039,0.000751639,0.137442619
0.999679075,0.025332714,42.61566925,0.354119122,-1.222596169,0.003976298,0.159259245
0.999277968,0.037993989,48.27082825,0.354119122,-1.202375889,0.003976298,0.159259245
0.998716507,0.050649168,48.27082825,0.345117599,-1.142247081,0.007393541,0.162451923
0.997994784,0.063296219,50.8964386,0.342565149,-1.051255822,0.008908579,0.162451923
0.997112914,0.075933113,50.8964386,0.341152906,-0.947493732,0.010235832,0.158727139
0.996071038,0.088557822,53.11811066,0.340795934,-0.858098805,0.011374521,0.149149105
0.994869324,0.10116832,53.11811066,0.340991646,-0.792648911,0.012538471,0.153938115
0.993507964,0.113762584,54.5318985,0.341356099,-0.756997347,0.01359502,0.152341783
0.991987177,0.126338593,54.5318985,0.341638088,-0.745290875,0.014762047,0.153406009
0.990307208,0.138894328,56.34962845,0.341638088,-0.745290875,0.014762047,0.153406009
0.988468325,0.151427775,56.55160141,0.341307104,-0.754868925,0.016219972,0.161387697
0.986470823,0.163936923,56.55160141,0.340607643,-0.771364391,0.017821919,0.155002341
0.984315024,0.176419763,58.57130051,0.339485735,-0.79158473,0.01882823,0.152873889
0.982001273,0.188874294,58.57130051,0.33799395,-0.817658246,0.019730678,0.151809663
0.979529941,0.201298523,59.98508835,0.33623895,-0.841603279,0.020508168,0.143295869
0.976901425,0.213690443,59.98508835,0.334142268,-0.886832893,0.021229148,0.131589383
0.974116147,0.226048073,60.38903046,0.331518322,-0.928337693,0.021897646,0.128928825
0.971174554,0.238369429,60.38903046,0.328575909,-0.958136022,0.02255738,0.122011349
0.968077118,0.250652534,61.60084915,0.325206727,-0.991659105,0.02318095,0.117754452
0.964824336,0.262895418,62.40872955,0.325206727,-1.012943745,0.02318095,0.117754452
0.96141673,0.275096115,62.40872955,0.317706317,-1.009750962,0.023678692,0.115626
0.957854846,0.287252667,63.4185791,0.314106315,-0.967714071,0.024302673,0.107112192
0.954139256,0.299363124,63.4185791,0.31079796,-0.886832893,0.024300642,0.099130504
0.950270557,0.311425543,62.40872955,0.307706267,-0.800098538,0.024136597,0.092745148
0.946249369,0.323437988,62.40872955,0.304911315,-0.700593412,0.023884971,0.084231339
0.942076337,0.335398531,62.40872955,0.302450627,-0.603748858,0.023489781,0.075185426
0.937752132,0.347305253,62.40872955,0.30006814,-0.539895356,0.02287437,0.066139504
0.933277447,0.359156244,61.8028183,0.297538161,-0.50317955,0.022226101,0.058157817
0.928652999,0.370949601,61.39888,0.297538161,-0.478170276,0.022226101,0.058157817
0.923879533,0.382683432,61.39888,0.291835278,-0.477638185,0.020932814,0.037405416
0.918957812,0.394355855,61.39888,0.288552523,-0.504243791,0.020428162,0.034212738
0.913888627,0.405964996,61.39888,0.285218865,-0.536702693,0.020057151,0.029955836
0.908672791,0.417508992,61.60084915,0.281641513,-0.57501477,0.019780094,0.031552177
0.903311142,0.428985991,61.60084915,0.278001398,-0.620244384,0.019619204,0.030487951
0.89780454,0.440394151,61.39888,0.274137437,-0.671859324,0.019543236,0.029423725
0.892153868,0.451731641,61.39888,0.269995749,-0.731455982,0.019606685,0.028891612
0.886360033,0.462996643,61.39888,0.265425563,-0.795841634,0.01964245,0.02463471
0.880423965,0.474187348,62.81267166,0.265425563,-0.836282194,0.01964245,0.02463471
0.874346617,0.485301961,62.81267166,0.255896449,-0.859695137,0.019573551,0.021974145
0.868128963,0.496338698,65.0343399,0.251086295,-0.872465849,0.0194718,0.015056679
0.861772002,0.507295788,65.0343399,0.251086295,-0.867676854,0.0194718,0.015056679
0.855276753,0.518171473,66.85207367,0.241756856,-0.851713479,0.019101091,0.007607099
0.848644259,0.528964008,66.85207367,0.237220407,-0.834685862,0.018882645,-0.000374593
0.841875584,0.539671661,67.65995026,0.232825652,-0.815529764,0.018696677,-0.005695721
